欣赏频道,#genre#
脱口秀大会肆,http://cfss.cc/cdn/hy/30080243.m3u8
脱口秀大会伍,http://159.75.85.63:35455/huya/11352875
脱口秀大会伍,http://cfss.cc/cdn/hy/11352875.m3u8
吐槽大会京都,http://159.75.85.63:35455/yy/1354936210
吐槽大会海天,http://159.75.85.63:35455/yy/1354932379
吐槽大会二季,http://159.75.85.63:35455/yy/1354936145
吐槽大会五季,http://159.75.85.63:35455/yy/1354889009
娱乐扒叔轮播,http://159.75.85.63:35455/douyu/9624581
粤语剧集轮播,http://159.75.85.63:35455/douyu/10338873
粤语港剧轮播,http://159.75.85.63:35455/douyu/6478650
粤语港剧回忆,http://159.75.85.63:35455/douyu/742565
粤语轮播港剧,http://159.75.85.63:35455/douyu/9019945
粤语轮播剧集,http://159.75.85.63:35455/douyu/10567318
粤语经典综艺,http://159.75.85.63:35455/douyu/7919720
粤语星爷电影,http://159.75.85.63:35455/huya/11336587
粤语星爷电影,http://cfss.cc/cdn/hy/11336587.m3u8
粤语极清电影,https://pullhw.zhaoyangyang.cn/live/8718226.flv?auth_info=8n97UbRnkQmi8aPTxRAFEgkWwHDh9p9CeSPMnlxXhb4%3D.7542784a45674a624c4a6861666e4655
粤语版电影一,http://159.75.85.63:35455/douyu/5033502
粤语版电影二,http://159.75.85.63:35455/douyu/6566671
粤语版电影三,http://159.75.85.63:35455/douyu/1226741
重温经典频道,http://ali.hlspull.yximgs.com/live/awei_cwjd.flv
星空卫视频道,http://122.224.58.42:85/tsfile/live/1024_1.m3u8?key=txiptv&playlive=1&authid=0
星空卫视频道,http://wouu.net:9977/udp/239.93.0.156:2193
CHC动作电影,http://58.59.47.242:8180/TV00000000000000000030@HHZT
CHC家庭影院,http://58.59.47.242:8180/TV00000000000000000029@HHZT
CHC影迷电影,http://58.59.47.242:8180/TV00000000000000000031@HHZT
央卫频秒,#genre#
CCTV-1,http://36.101.1.79:554/rtp/239.253.64.120:5140
CCTV-2,http://36.101.1.79:554/rtp/239.253.64.195:5140
CCTV-3,http://36.101.1.79:554/rtp/239.253.64.244:5140
CCTV-4,http://36.101.1.79:554/rtp/239.253.64.196:5140
CCTV-5,http://36.101.1.79:554/rtp/239.253.64.245:5140
CCTV5+,http://36.101.1.79:554/rtp/239.253.64.100:5140
CCTV-6,http://36.101.1.79:554/rtp/239.253.64.246:5140
CCTV-7,http://36.101.1.79:554/rtp/239.253.64.54:5140
CCTV-8,http://36.101.1.79:554/rtp/239.253.64.247:5140
CCTV-9,http://36.101.1.79:554/rtp/239.253.64.76:5140
CCTV-10,http://36.101.1.79:554/rtp/239.253.64.87:5140
CCTV-11,http://36.101.1.79:554/rtp/239.253.64.70:5140
CCTV-12,http://36.101.1.79:554/rtp/239.253.64.97:5140
CCTV-13,http://36.101.1.79:554/rtp/239.253.64.59:5140
CCTV-14,http://36.101.1.79:554/rtp/239.253.64.115:5140
CCTV-15,http://36.101.1.79:554/rtp/239.253.64.72:5140
CCTV-16,http://36.101.1.79:554/rtp/239.253.64.251:5140
CCTV-17,http://36.101.1.79:554/rtp/239.253.64.67:5140
CCTV-16-4K,http://36.101.1.79:554/rtp/239.253.64.126:5140
CT4欧洲,http://mtjkwdrive.zzmd.fun:8888/rtp/239.3.1.213:4220
CT4美洲,http://mtjkwdrive.zzmd.fun:8888/rtp/239.3.1.214:4220
CGT英语,http://mtjkwdrive.zzmd.fun:8888/rtp/239.3.1.215:4220
CGT纪录,http://mtjkwdrive.zzmd.fun:8888/rtp/239.3.1.216:4220
CGT西语,http://mtjkwdrive.zzmd.fun:8888/rtp/239.3.1.217:4220
CGT法语,http://mtjkwdrive.zzmd.fun:8888/rtp/239.3.1.218:4220
CGT阿语,http://mtjkwdrive.zzmd.fun:8888/rtp/239.3.1.219:4220
CGT俄语,http://mtjkwdrive.zzmd.fun:8888/rtp/239.3.1.220:4220
凤凰资讯,http://171.88.140.208:4000/udp/239.93.1.4:2191
凤凰中文,http://171.88.140.208:4000/udp/239.93.1.9:2192
世界地理,http://home.yulei.online:9999/rtp/226.0.2.222:9688
兵器科技,http://home.yulei.online:9999/rtp/226.0.2.223:9696
第一剧场,http://home.yulei.online:9999/rtp/226.0.2.221:9680
怀旧剧场,http://home.yulei.online:9999/rtp/226.0.2.224:9704
风云剧场,http://home.yulei.online:9999/rtp/226.0.2.227:9728
风云音乐,http://home.yulei.online:9999/rtp/226.0.2.220:9672
风云足球,http://home.yulei.online:9999/rtp/226.0.2.225:9712
女性时尚,http://home.yulei.online:9999/rtp/226.0.2.226:9720
高尔网球,http://home.yulei.online:9999/rtp/226.0.2.217:9648
文化精品,http://home.yulei.online:9999/rtp/226.0.2.219:9664
央视台球,http://home.yulei.online:9999/rtp/226.0.2.216:9640
电视指南,http://home.yulei.online:9999/rtp/226.0.2.218:9656
早期教育,http://home.yulei.online:9999/rtp/226.0.2.99:8704
中国教育,http://mobilelive-ds.ysp.cctv.cn/ysp/2022823801.m3u8
中国天气,http://home.yulei.online:9999/rtp/226.0.2.103:8736
中国交通,http://mtjkwdrive.zzmd.fun:8888/rtp/239.3.1.188:8001
CETV1台,http://117.161.12.124/live/program/live/zgjy1t8m/8000000/mnf.m3u8
CETV4台,http://117.161.12.124/live/program/live/zgjy4hd8m/8000000/mnf.m3u8
五星体育,http://117.161.12.124/live/program/live/wxtyhd8m/8000000/mnf.m3u8
劲爆体育,http://117.161.12.124/live/program/live/jbtyhd8m/8000000/mnf.m3u8
新视觉HD,http://117.161.12.124/live/program/live/xsjhd8m/8000000/mnf.m3u8
魅力足球,http://nas.hssvm.com:8888/udp/225.1.1.137:5002
动作电影,http://58.59.47.242:8180/TV00000000000000000030@HHZT
家庭影院,http://58.59.47.242:8180/TV00000000000000000029@HHZT
影迷电影,http://58.59.47.242:8180/TV00000000000000000031@HHZT
北京卫视,http://36.101.1.79:554/rtp/239.253.64.204:5140
东方卫视,http://36.101.1.79:554/rtp/239.253.64.201:5140
浙江卫视,http://36.101.1.79:554/rtp/239.253.64.206:5140
江苏卫视,http://36.101.1.79:554/rtp/239.253.64.202:5140
湖南卫视,http://36.101.1.79:554/rtp/239.253.64.114:5140
广东卫视,http://36.101.1.79:554/rtp/239.253.64.200:5140
深圳卫视,http://36.101.1.79:554/rtp/239.253.64.203:5140
安徽卫视,http://36.101.1.79:554/rtp/239.253.64.129:5140
东南卫视,http://36.101.1.79:554/rtp/239.253.64.66:5140
天津卫视,http://36.101.1.79:554/rtp/239.253.64.198:5140
辽宁卫视,http://36.101.1.79:554/rtp/239.253.64.150:5140
海南卫视,http://36.101.1.79:554/rtp/239.253.64.253:5140
江西卫视,http://36.101.1.79:554/rtp/239.253.64.56:5140
湖北卫视,http://36.101.1.79:554/rtp/239.253.64.207:5140
广西卫视,http://171.88.140.208:4000/udp/239.93.42.46:5140
山东卫视,http://36.101.1.79:554/rtp/239.253.64.208:5140
四川卫视,http://171.88.140.208:4000/udp/239.93.0.169:5140
河南卫视,http://171.88.140.208:4000/udp/239.93.42.45:5140
贵州卫视,http://36.101.1.79:554/rtp/239.253.64.197:5140
河北卫视,http://36.101.1.79:554/rtp/239.253.64.210:5140
重庆卫视,http://36.101.1.79:554/rtp/239.253.64.55:5140
新疆卫视,http://171.88.140.208:4000/udp/239.93.0.194:5140
兵团卫视,http://mobilelive-ds.ysp.cctv.cn/ysp/2022606701.m3u8
吉林卫视,http://36.101.1.79:554/rtp/239.253.64.57:5140
黑龙江视,http://36.101.1.79:554/rtp/239.253.64.205:5140
港闽频代,#genre#
凤凰资讯台,http://free.xiptv.x10.bz/kudou.php?id=121
凤凰卫视台,http://free.xiptv.x10.bz/kudou.php?id=122
凤凰香港台,http://free.xiptv.x10.bz/kudou.php?id=123
有线新闻台,http://free.xiptv.x10.bz/kudou.php?id=127
无线新闻台,http://free.xiptv.x10.bz/kudou.php?id=2
无线翡翠台,http://free.xiptv.x10.bz/kudou.php?id=188
无线华丽台,http://free.xiptv.x10.bz/kudou.php?id=9
无线Plus台,http://free.xiptv.x10.bz/kudou.php?id=7
有线综讯台,http://free.xiptv.x10.bz/kudou.php?id=125
有线赛马台,http://free.xiptv.x10.bz/kudou.php?id=4
无线赛马台,http://free.xiptv.x10.bz/kudou.php?id=17
无线娱乐台,http://free.xiptv.x10.bz/kudou.php?id=20
无线华剧台,http://free.xiptv.x10.bz/kudou.php?id=22
无线亚剧台,http://free.xiptv.x10.bz/kudou.php?id=10
无线亚综台,http://free.xiptv.x10.bz/kudou.php?id=15
无线粤片台,http://free.xiptv.x10.bz/kudou.php?id=14
无线功夫粤,http://free.xiptv.x10.bz/kudou.php?id=12
无线功夫国,http://free.xiptv.x10.bz/kudou.php?id=126
黄金翡翠台,http://free.xiptv.x10.bz/kudou.php?id=11
黄金华剧台,http://free.xiptv.x10.bz/kudou.php?id=24
千禧经典台,http://free.xiptv.x10.bz/kudou.php?id=19
天映经典台,http://free.xiptv.x10.bz/kudou.php?id=103
天映频道台,http://free.xiptv.x10.bz/kudou.php?id=104
美亚电影粤,http://free.xiptv.x10.bz/kudou.php?id=25
美亚电影国,http://free.xiptv.x10.bz/kudou.php?id=25
popc电影台,http://free.xiptv.x10.bz/kudou.php?id=38
Thrill电影台,http://free.xiptv.x10.bz/kudou.php?id=37
Astr爱奇艺,http://free.xiptv.x10.bz/kudou.php?id=118
Astr欢喜台,http://free.xiptv.x10.bz/kudou.php?id=115
ViuTV台粤,http://free.xiptv.x10.bz/kudou.php?id=23
now爆谷台,http://free.xiptv.x10.bz/kudou.php?id=30
now星影台,http://free.xiptv.x10.bz/kudou.php?id=29
now华剧台,http://free.xiptv.x10.bz/kudou.php?id=116
now英超台,http://free.xiptv.x10.bz/kudou.php?id=31
Now财经台,http://free.xiptv.x10.bz/kudou.php?id=28
HBO频道台,http://free.xiptv.x10.bz/kudou.php?id=95
HBO强档台,http://free.xiptv.x10.bz/kudou.php?id=96
HBO家庭台,http://free.xiptv.x10.bz/kudou.php?id=97
TVN电影台,http://free.xiptv.x10.bz/kudou.php?id=41
好莱坞电影,http://free.xiptv.x10.bz/kudou.php?id=88 
东森新闻台,http://free.xiptv.x10.bz/kudou.php?id=75
tvbs新闻台,http://free.xiptv.x10.bz/kudou.php?id=78
寰宇新闻台,http://free.xiptv.x10.bz/kudou.php?id=76
三立新闻台,http://free.xiptv.x10.bz/kudou.php?id=79
民视新闻台,http://free.xiptv.x10.bz/kudou.php?id=84
中视新闻台,http://free.xiptv.x10.bz/kudou.php?id=80
台视新闻台,http://free.xiptv.x10.bz/kudou.php?id=81
台视闽南台,http://free.xiptv.x10.bz/kudou.php?id=44
华视闽南台,http://free.xiptv.x10.bz/kudou.php?id=46
公视闽南台,http://free.xiptv.x10.bz/kudou.php?id=47
民视闽南台,http://free.xiptv.x10.bz/kudou.php?id=43
民视台湾台,http://free.xiptv.x10.bz/kudou.php?id=49
民视第一台,http://free.xiptv.x10.bz/kudou.php?id=50
中视闽南台,http://free.xiptv.x10.bz/kudou.php?id=45
中天亚洲台,http://free.xiptv.x10.bz/kudou.php?id=60
中天综合台,http://free.xiptv.x10.bz/kudou.php?id=61
中天娱乐台,http://free.xiptv.x10.bz/kudou.php?id=62
三立综合台,http://free.xiptv.x10.bz/kudou.php?id=51
三立台湾台,http://free.xiptv.x10.bz/kudou.php?id=52
三立都会台,http://free.xiptv.x10.bz/kudou.php?id=54
八大综合台,http://free.xiptv.x10.bz/kudou.php?id=55 
八大笫一台,http://free.xiptv.x10.bz/kudou.php?id=56
八大戏剧台,http://free.xiptv.x10.bz/kudou.php?id=57
tvbs-HD台,http://free.xiptv.x10.bz/kudou.php?id=77
靖天电影台,http://free.xiptv.x10.bz/kudou.php?id=150
靖洋戏剧台,http://free.xiptv.x10.bz/kudou.php?id=53
龙祥时代台,http://free.xiptv.x10.bz/kudou.php?id=85
东森综合台,http://free.xiptv.x10.bz/kudou.php?id=66
东森戏剧台,http://free.xiptv.x10.bz/kudou.php?id=67
东森电影台,http://free.xiptv.x10.bz/kudou.php?id=86
东森洋片台,http://free.xiptv.x10.bz/kudou.php?id=87
龙华戏剧台,http://free.xiptv.x10.bz/kudou.php?id=90
龙华洋片台,http://free.xiptv.x10.bz/kudou.php?id=92
龙华偶像台,http://free.xiptv.x10.bz/kudou.php?id=91 
龙华电影台,http://free.xiptv.x10.bz/kudou.php?id=93
纬来电影台,http://free.xiptv.x10.bz/kudou.php?id=89
华纳电影台,http://free.xiptv.x10.bz/kudou.php?id=100
卫视电影台,http://free.xiptv.x10.bz/kudou.php?id=102
亚洲旅游台,http://free.xiptv.x10.bz/kudou.php?id=71 
美食星球台,http://free.xiptv.x10.bz/kudou.php?id=69
探索频道台,http://free.xiptv.x10.bz/kudou.php?id=73
动物星球台,http://free.xiptv.x10.bz/kudou.php?id=108
野生地理台,http://free.xiptv.x10.bz/kudou.php?id=109
国家地理台,http://free.xiptv.x10.bz/kudou.php?id=110
cn卡通频道,http://free.xiptv.x10.bz/kudou.php?id=65  
AXN电影台,http://free.xiptv.x10.bz/kudou.php?id=99
FGM电影台,http://free.xiptv.x10.bz/kudou.php?id=151
BOB电影台,http://free.xiptv.x10.bz/kudou.php?id=114
EYE-旅游台,http://free.xiptv.x10.bz/kudou.php?id=63
EYE-戏剧台,http://free.xiptv.x10.bz/kudou.php?id=64
ELT-影剧台,http://free.xiptv.x10.bz/kudou.php?id=59
ELT-体育三,http://free.xiptv.x10.bz/kudou.php?id=120
ELT-体育四,http://free.xiptv.x10.bz/kudou.php?id=72
KiX-频道台,http://free.xiptv.x10.bz/kudou.php?id=34
ROCK-综艺,http://free.xiptv.x10.bz/kudou.php?id=32 
ROCK-娱乐,http://free.xiptv.x10.bz/kudou.php?id=33
AFN频道台,http://free.xiptv.x10.bz/kudou.php?id=70
BBC纪实台,http://free.xiptv.x10.bz/kudou.php?id=111
Mtv频道台,http://free.xiptv.x10.bz/kudou.php?id=113
DMAX频道,http://free.xiptv.x10.bz/kudou.php?id=74 
CiINE-Max,http://free.xiptv.x10.bz/kudou.php?id=98
moviesnow,http://free.xiptv.x10.bz/kudou.php?id=101 
松视一台,http://free.xiptv.x10.bz/kudou.php?id=132
松视二台,http://free.xiptv.x10.bz/kudou.php?id=134
松视三台,http://free.xiptv.x10.bz/kudou.php?id=135
香蕉频道,http://free.xiptv.x10.bz/kudou.php?id=128
惊艳频道,http://free.xiptv.x10.bz/kudou.php?id=130
彩虹_e台,http://free.xiptv.x10.bz/kudou.php?id=137
玩美频道,http://free.xiptv.x10.bz/kudou.php?id=133
极限频道,http://free.xiptv.x10.bz/kudou.php?id=136
特区频柒,#genre#
凤凰美洲台,p3p://173.208.176.178:19806/5fe00fca0004e627722fbe5a480a642f
凤凰资讯台,http://180.143.86.242:8181/tsfile/live/1082_1.m3u8
凤凰资讯台,p3p://173.208.176.178:19806/5fffbf860003807cedf4e1016c3c3ed2
凤凰资讯台,http://171.213.129.135:9999/udp/239.93.1.4:2191
凤凰卫视台,http://180.143.86.242:8181/tsfile/live/1083_1.m3u8
凤凰卫视台,p3p://173.208.176.178:19806/602c73500002f4d29c90fa1270f21160
凤凰卫视台,http://171.213.129.135:9999/udp/239.93.1.9:2192
凤凰香港台,http://180.143.86.242:8181/tsfile/live/1084_1.m3u8
凤凰香港台,p3p://173.208.176.178:19806/5fe0b82c000cac9774c17f262e43314d
香港卫视台,p3p://173.208.176.178:19806/655f9ff5000f136f8ebbd33f2f097512
香港卫视台,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
星空卫视台,http://122.224.58.42:85/tsfile/live/1024_1.m3u8?key=txiptv&playlive=1&authid=0
广东珠江台,http://113.116.180.216:4022/udp/239.77.0.1:5146
广东珠江台,p3p://173.208.176.178:19806/63fa66de000b08831b5b475e54e67ef1
广东珠江台,http://ddns.cyruslee.top:8888/udp/239.77.0.1:5146
广东体育台,http://113.116.180.216:4022/udp/239.77.0.112:5146
广东体育台,p3p://173.208.176.178:19806/63ec4b8400036b28e440c19a1b512b44
广东体育台,http://ddns.cyruslee.top:8888/udp/239.77.0.112:5146
中天新闻台,p3p://173.208.176.178:19806/613dba64000abeb1c801c02934bb45fc
有线新闻台,p3p://173.208.176.178:19806/655bd22c000147307fdff68936807320
无线新闻台,p3p://173.208.176.178:19806/653e4818000b73240c7d19181340415e
now新闻台,p3p://173.208.176.178:19806/653e4f3d0003bdbf0c98ffaf583a6e3a
无线翡翠台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct3
无线翡翠台,p3p://173.208.176.178:19806/653e4c02000ea0440c8c63fd3e5d709d
无线华丽台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=huali
无线Plus台,p3p://173.208.176.178:19806/6649bce20008d56453eeebfc022701f1
无线Plus台,p3p://173.208.176.178:19806/653e4d3e000b344f0c91357e73163f82
无线Plus台,p3p://173.208.176.178:19806/5ffbee4900066c0ddf0b8b84423c06f3
无线Plus台,p3p://173.208.176.178:19806/611d989d0005244a4a7f24d111282ffb
无线明珠台,p3p://173.208.176.178:19806/611d99f3000116024a845bb9627404c9
无线明珠台,p3p://173.208.176.178:19806/602f1ba9000814efa6f2970333d309d9
无线赛马台,p3p://173.208.176.178:19806/6506d591000d6d7733e6bdfb4725689e
now赛马台,p3p://173.208.176.178:19806/6318b7730000b372fb7ca7e170c66e54
有线赛马台,p3p://173.208.176.178:19806/64db58eb000d759e8a08afbc7bd65062
有线综合台,p3p://173.208.176.178:19806/62184bc3000cd48f11e47b06202b7e18
有线综合台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=hoytv
popc电影国,p3p://173.208.176.178:19806/663e9212000a54b4285005cd59217563
龙祥电影粤,p3p://173.208.176.178:19806/63375cce0008451773313a26199f3191
美亚电影粤,p3p://173.208.176.178:19806/655f8ccc0007d2578e70f934113a2428
美亚电影国,p3p://173.208.176.178:19806/64c3653f0007f6812c7970122ff43531
天映频道粤,p3p://173.208.176.178:19806/65bf577300077e84049eb5316df2149c
天映频道粤,p3p://173.208.176.178:19806/6533b684000931d9e334c45b064e2833
天映频道国,p3p://173.208.176.178:19806/65bf5a9a0005aa9d04ab0515203f3b8b
天映频道国,p3p://173.208.176.178:19806/6471b0bb00011e09ed51d397629e4f55
天映频道闽,p3p://173.208.176.178:19806/6471b17d00006ecded54c93b1ea4486b
天映经典台,p3p://173.208.176.178:19806/5fded422000d0eb46d5f29815c1d4155
now星影台,p3p://173.208.176.178:19806/65423b7b00047dbb1bebd20b45f374d2
now爆谷台,p3p://173.208.176.178:19806/65423beb00082fd01bed887e0ae23bbf
now爆谷台,p3p://173.208.176.178:19806/65bf60df000777a004c3831b56247b8e
now紫金台,p3p://173.208.176.178:19806/6427e42c00084703cd0c176f58dd37f1
now华剧台,p3p://173.208.176.178:19806/6519bc200001e7b37dbb01f124075086
now剧集台,p3p://173.208.176.178:19806/63ed3e1500077d30e7f449055a0846ce
now直播台,p3p://173.208.176.178:19806/655fa52d000c3fc98ed0353c0e327e63
now英超粤,p3p://173.208.176.178:19806/65acf008000b26e4bcbb1adc24476b3f
now体育一,p3p://173.208.176.178:19806/63ed464b000b911be8145d035c4e0f21
now体育二,p3p://173.208.176.178:19806/63ed46be0002b99be8161bfd62d87e90
now体育三,p3p://173.208.176.178:19806/63ed4715000c1bffe81772386f5b27f7
now体育四,p3p://173.208.176.178:19806/63ed478e000a98f2e8194a7c2bdc7fe6
now体育五,p3p://173.208.176.178:19806/63ed98c2000122f4e9567b333a74077a
now体育六,p3p://173.208.176.178:19806/63ed98d90002f8f6e956d5822ff208b1
now体育七,p3p://173.208.176.178:19806/63ed990600010efde95784d4529f16d2
nowplus台,p3p://173.208.176.178:19806/65a442ed000e5f029ad7146558606385
nowPrime,p3p://173.208.176.178:19806/644edbcc0004d5a765428da71f967a86
TVB-1 US,p3p://173.208.176.178:19806/63efe07e000c1db2f23eb46a4e00518a
TVB-J1US,p3p://173.208.176.178:19806/63efe0de000858baf2402a646c573e1b
TVB-E US,p3p://173.208.176.178:19806/63efe2e2000d23b5f2480b4125294b9a
TVBdrama,p3p://173.208.176.178:19806/63efe252000a7658f245d81113e44b34
TVB-news,p3p://173.208.176.178:19806/63efe2a100034c82f2470ad419e43975
VIUtv台粤,p3p://173.208.176.178:19806/5fed3234000c7a49a57dbd6e14af358f
VIUtv台粤,p3p://173.208.176.178:19806/611d99820007a67c4a82a3fe3cc749de
VIUtv台英,p3p://173.208.176.178:19806/5fed31e7000736e2a57c8f4c14d55d36
Astr剧集台,p3p://173.208.176.178:19806/5fdeca140004e52a6d37e0be49f64a69
Astr剧集台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=aod
Astr综合台,p3p://173.208.176.178:19806/64bbb99f0005fdbf0e8331dd6a6f10a1
Astr欢喜台,p3p://173.208.176.178:19806/620f05bb0000b01ff985bb62369741c0
Astr爱奇艺,p3p://173.208.176.178:19806/5fe07bb800090e1173d5591b2d87144a
Hub都会国,p3p://173.208.176.178:19806/64bbb7fc0000f99e0e7ccbda6e527811
Hub娱家国,p3p://173.208.176.178:19806/64bbb85e0009c5db0e7e4ceb66ad5c17
8-度空间国,p3p://173.208.176.178:19806/64bce778000d4c1f131e20196db7116d
纬来电影台,p3p://173.208.176.178:19806/62c860e50008ea96c1ae9a96599c6947
東森电影国,p3p://173.208.176.178:19806/62c103a5000b5a66a4eacca77822079a
龙华电影国,p3p://173.208.176.178:19806/621471310004d28d02d6aeb471c265ec
龙翔电影国,p3p://173.208.176.178:19806/60115453000a238d32a1418142be77f7
数位电影台,p3p://173.208.176.178:19806/6223ae1b0007136f3e5c44280e3300fa
映画电影台,p3p://173.208.176.178:19806/63a9b86700096c986a8c8a557cd37007
极限电影台,p3p://173.208.176.178:19806/6109e9bb0005fd87fd9ce5ea2c1f18d3
采昌剧集国,p3p://173.208.176.178:19806/621de2ed000a255d27ba994346c66a7c
好莱坞电影,p3p://173.208.176.178:19806/62cee8b3000ea6aedb30a55616047866
无线星河粤,p3p://173.208.176.178:19806/5fdee23d000b670a6d96428e4c334643
无线星河国,p3p://173.208.176.178:19806/6563174f0002ffaf9c45dd927c7d6df1
无线功夫台,p3p://173.208.176.178:19806/653e4a3f000b1abb0c85815c35fa0803
无线娱乐台,p3p://173.208.176.178:19806/5fe7f68d000e73d9910d2a86341258f7
无线综艺台,p3p://173.208.176.178:19806/63108c86000a543bdb95705579fa26ad
无线综艺台,p3p://173.208.176.178:19806/6506d285000b06bd33dad67a652e2bfd
黄金翡翠台,p3p://173.208.176.178:19806/653e49c20006c60f0c8397f7771b1b7b
黄金华剧台,p3p://173.208.176.178:19806/652970de00011277bb14dcd76e301cc0
无线亚剧台,p3p://173.208.176.178:19806/6284685e00039b52b82eeeca7a785fda
无线粤片台,p3p://173.208.176.178:19806/653e4b8d00001a450c8a973c06325101
无线戏曲台,p3p://173.208.176.178:19806/63108bd0000e4a9cdb92aa6820e833d5
