央视,#genre#
CCTV8电视剧,http://127.0.0.1:9978/proxy?do=Migu&proxyApi=aHR0cDovL2Fpa2Fudm9kLm1pZ3V2aWRlby5jb20vdmlkZW8vcC9saXZlLmpzcD91c2VyPWd1ZXN0JmNoYW5uZWw9&id=265667466
CCTV9纪录,http://127.0.0.1:9978/proxy?do=Migu&proxyApi=aHR0cDovL2Fpa2Fudm9kLm1pZ3V2aWRlby5jb20vdmlkZW8vcC9saXZlLmpzcD91c2VyPWd1ZXN0JmNoYW5uZWw9&id=265667202
CCTV10科教,http://127.0.0.1:9978/proxy?do=Migu&proxyApi=aHR0cDovL2Fpa2Fudm9kLm1pZ3V2aWRlby5jb20vdmlkZW8vcC9saXZlLmpzcD91c2VyPWd1ZXN0JmNoYW5uZWw9&id=265667631
CCTV11戏曲,http://127.0.0.1:9978/proxy?do=Migu&proxyApi=aHR0cDovL2Fpa2Fudm9kLm1pZ3V2aWRlby5jb20vdmlkZW8vcC9saXZlLmpzcD91c2VyPWd1ZXN0JmNoYW5uZWw9&id=265667429
CCTV12社会与法,http://127.0.0.1:9978/proxy?do=Migu&proxyApi=aHR0cDovL2Fpa2Fudm9kLm1pZ3V2aWRlby5jb20vdmlkZW8vcC9saXZlLmpzcD91c2VyPWd1ZXN0JmNoYW5uZWw9&id=265667607
CCTV13新闻,http://127.0.0.1:9978/proxy?do=Migu&proxyApi=aHR0cDovL2Fpa2Fudm9kLm1pZ3V2aWRlby5jb20vdmlkZW8vcC9saXZlLmpzcD91c2VyPWd1ZXN0JmNoYW5uZWw9&id=265667474
CCTV14少儿,http://127.0.0.1:9978/proxy?do=Migu&proxyApi=aHR0cDovL2Fpa2Fudm9kLm1pZ3V2aWRlby5jb20vdmlkZW8vcC9saXZlLmpzcD91c2VyPWd1ZXN0JmNoYW5uZWw9&id=265667325
CCTV15音乐,http://127.0.0.1:9978/proxy?do=Migu&proxyApi=aHR0cDovL2Fpa2Fudm9kLm1pZ3V2aWRlby5jb20vdmlkZW8vcC9saXZlLmpzcD91c2VyPWd1ZXN0JmNoYW5uZWw9&id=265667535
CCTV17农业农村,http://127.0.0.1:9978/proxy?do=Migu&proxyApi=aHR0cDovL2Fpa2Fudm9kLm1pZ3V2aWRlby5jb20vdmlkZW8vcC9saXZlLmpzcD91c2VyPWd1ZXN0JmNoYW5uZWw9&id=265667526

卫视,#genre#
东方卫视,http://127.0.0.1:9978/proxy?do=Migu&proxyApi=aHR0cDovL2Fpa2Fudm9kLm1pZ3V2aWRlby5jb20vdmlkZW8vcC9saXZlLmpzcD91c2VyPWd1ZXN0JmNoYW5uZWw9&id=264104266
吉林卫视,http://127.0.0.1:9978/proxy?do=Migu&proxyApi=aHR0cDovL2Fpa2Fudm9kLm1pZ3V2aWRlby5jb20vdmlkZW8vcC9saXZlLmpzcD91c2VyPWd1ZXN0JmNoYW5uZWw9&id=531262154
青海卫视,http://127.0.0.1:9978/proxy?do=Migu&proxyApi=aHR0cDovL2Fpa2Fudm9kLm1pZ3V2aWRlby5jb20vdmlkZW8vcC9saXZlLmpzcD91c2VyPWd1ZXN0JmNoYW5uZWw9&id=531262027
陕西卫视,http://127.0.0.1:9978/proxy?do=Migu&proxyApi=aHR0cDovL2Fpa2Fudm9kLm1pZ3V2aWRlby5jb20vdmlkZW8vcC9saXZlLmpzcD91c2VyPWd1ZXN0JmNoYW5uZWw9&id=816409120
湖北卫视,http://127.0.0.1:9978/proxy?do=Migu&proxyApi=aHR0cDovL2Fpa2Fudm9kLm1pZ3V2aWRlby5jb20vdmlkZW8vcC9saXZlLmpzcD91c2VyPWd1ZXN0JmNoYW5uZWw9&id=531261978
江西卫视,http://127.0.0.1:9978/proxy?do=Migu&proxyApi=aHR0cDovL2Fpa2Fudm9kLm1pZ3V2aWRlby5jb20vdmlkZW8vcC9saXZlLmpzcD91c2VyPWd1ZXN0JmNoYW5uZWw9&id=810783159
江苏卫视,http://127.0.0.1:9978/proxy?do=Migu&proxyApi=aHR0cDovL2Fpa2Fudm9kLm1pZ3V2aWRlby5jb20vdmlkZW8vcC9saXZlLmpzcD91c2VyPWd1ZXN0JmNoYW5uZWw9&id=264104188
广东卫视,http://127.0.0.1:9978/proxy?do=Migu&proxyApi=aHR0cDovL2Fpa2Fudm9kLm1pZ3V2aWRlby5jb20vdmlkZW8vcC9saXZlLmpzcD91c2VyPWd1ZXN0JmNoYW5uZWw9&id=263541274
大湾区卫视,http://127.0.0.1:9978/proxy?do=Migu&proxyApi=aHR0cDovL2Fpa2Fudm9kLm1pZ3V2aWRlby5jb20vdmlkZW8vcC9saXZlLmpzcD91c2VyPWd1ZXN0JmNoYW5uZWw9&id=265218882
海南卫视,http://127.0.0.1:9978/proxy?do=Migu&proxyApi=aHR0cDovL2Fpa2Fudm9kLm1pZ3V2aWRlby5jb20vdmlkZW8vcC9saXZlLmpzcD91c2VyPWd1ZXN0JmNoYW5uZWw9&id=531262161


电影,#genre#
高清大片,http://127.0.0.1:9978/proxy?do=Migu&proxyApi=aHR0cDovL2Fpa2Fudm9kLm1pZ3V2aWRlby5jb20vdmlkZW8vcC9saXZlLmpzcD91c2VyPWd1ZXN0JmNoYW5uZWw9&id=265218862
香港电影,http://127.0.0.1:9978/proxy?do=Migu&proxyApi=aHR0cDovL2Fpa2Fudm9kLm1pZ3V2aWRlby5jb20vdmlkZW8vcC9saXZlLmpzcD91c2VyPWd1ZXN0JmNoYW5uZWw9&id=265219029
军事大片,http://127.0.0.1:9978/proxy?do=Migu&proxyApi=aHR0cDovL2Fpa2Fudm9kLm1pZ3V2aWRlby5jb20vdmlkZW8vcC9saXZlLmpzcD91c2VyPWd1ZXN0JmNoYW5uZWw9&id=265218878
热剧联播,http://127.0.0.1:9978/proxy?do=Migu&proxyApi=aHR0cDovL2Fpa2Fudm9kLm1pZ3V2aWRlby5jb20vdmlkZW8vcC9saXZlLmpzcD91c2VyPWd1ZXN0JmNoYW5uZWw9&id=265218955
赛事最经典,http://127.0.0.1:9978/proxy?do=Migu&proxyApi=aHR0cDovL2Fpa2Fudm9kLm1pZ3V2aWRlby5jb20vdmlkZW8vcC9saXZlLmpzcD91c2VyPWd1ZXN0JmNoYW5uZWw9&id=265218921
体坛名栏汇,http://127.0.0.1:9978/proxy?do=Migu&proxyApi=aHR0cDovL2Fpa2Fudm9kLm1pZ3V2aWRlby5jb20vdmlkZW8vcC9saXZlLmpzcD91c2VyPWd1ZXN0JmNoYW5uZWw9&id=265218759
新片放映厅,http://127.0.0.1:9978/proxy?do=Migu&proxyApi=aHR0cDovL2Fpa2Fudm9kLm1pZ3V2aWRlby5jb20vdmlkZW8vcC9saXZlLmpzcD91c2VyPWd1ZXN0JmNoYW5uZWw9&id=265218930
Y+剧场,http://127.0.0.1:9978/proxy?do=Migu&proxyApi=aHR0cDovL2Fpa2Fudm9kLm1pZ3V2aWRlby5jb20vdmlkZW8vcC9saXZlLmpzcD91c2VyPWd1ZXN0JmNoYW5uZWw9&id=140151866

生活,#genre#
熊猫频道高清,http://127.0.0.1:9978/proxy?do=Migu&proxyApi=aHR0cDovL2Fpa2Fudm9kLm1pZ3V2aWRlby5jb20vdmlkZW8vcC9saXZlLmpzcD91c2VyPWd1ZXN0JmNoYW5uZWw9&id=265667599
熊猫频道1,http://127.0.0.1:9978/proxy?do=Migu&proxyApi=aHR0cDovL2Fpa2Fudm9kLm1pZ3V2aWRlby5jb20vdmlkZW8vcC9saXZlLmpzcD91c2VyPWd1ZXN0JmNoYW5uZWw9&id=265219065
熊猫频道2,http://127.0.0.1:9978/proxy?do=Migu&proxyApi=aHR0cDovL2Fpa2Fudm9kLm1pZ3V2aWRlby5jb20vdmlkZW8vcC9saXZlLmpzcD91c2VyPWd1ZXN0JmNoYW5uZWw9&id=265218959
熊猫频道3,http://127.0.0.1:9978/proxy?do=Migu&proxyApi=aHR0cDovL2Fpa2Fudm9kLm1pZ3V2aWRlby5jb20vdmlkZW8vcC9saXZlLmpzcD91c2VyPWd1ZXN0JmNoYW5uZWw9&id=265218910
熊猫频道4,http://127.0.0.1:9978/proxy?do=Migu&proxyApi=aHR0cDovL2Fpa2Fudm9kLm1pZ3V2aWRlby5jb20vdmlkZW8vcC9saXZlLmpzcD91c2VyPWd1ZXN0JmNoYW5uZWw9&id=265218991
熊猫频道5,http://127.0.0.1:9978/proxy?do=Migu&proxyApi=aHR0cDovL2Fpa2Fudm9kLm1pZ3V2aWRlby5jb20vdmlkZW8vcC9saXZlLmpzcD91c2VyPWd1ZXN0JmNoYW5uZWw9&id=265218689
熊猫频道6,http://127.0.0.1:9978/proxy?do=Migu&proxyApi=aHR0cDovL2Fpa2Fudm9kLm1pZ3V2aWRlby5jb20vdmlkZW8vcC9saXZlLmpzcD91c2VyPWd1ZXN0JmNoYW5uZWw9&id=265218934
熊猫频道7,http://127.0.0.1:9978/proxy?do=Migu&proxyApi=aHR0cDovL2Fpa2Fudm9kLm1pZ3V2aWRlby5jb20vdmlkZW8vcC9saXZlLmpzcD91c2VyPWd1ZXN0JmNoYW5uZWw9&id=265219037
熊猫频道8,http://127.0.0.1:9978/proxy?do=Migu&proxyApi=aHR0cDovL2Fpa2Fudm9kLm1pZ3V2aWRlby5jb20vdmlkZW8vcC9saXZlLmpzcD91c2VyPWd1ZXN0JmNoYW5uZWw9&id=265218971
熊猫频道9,http://127.0.0.1:9978/proxy?do=Migu&proxyApi=aHR0cDovL2Fpa2Fudm9kLm1pZ3V2aWRlby5jb20vdmlkZW8vcC9saXZlLmpzcD91c2VyPWd1ZXN0JmNoYW5uZWw9&id=265218886
熊猫频道10,http://127.0.0.1:9978/proxy?do=Migu&proxyApi=aHR0cDovL2Fpa2Fudm9kLm1pZ3V2aWRlby5jb20vdmlkZW8vcC9saXZlLmpzcD91c2VyPWd1ZXN0JmNoYW5uZWw9&id=65218794
四海钓鱼,http://127.0.0.1:9978/proxy?do=Migu&proxyApi=aHR0cDovL2Fpa2Fudm9kLm1pZ3V2aWRlby5jb20vdmlkZW8vcC9saXZlLmpzcD91c2VyPWd1ZXN0JmNoYW5uZWw9&id=265667494
江苏教育,http://127.0.0.1:9978/proxy?do=Migu&proxyApi=aHR0cDovL2Fpa2Fudm9kLm1pZ3V2aWRlby5jb20vdmlkZW8vcC9saXZlLmpzcD91c2VyPWd1ZXN0JmNoYW5uZWw9&id=265219146
山东教育,http://127.0.0.1:9978/proxy?do=Migu&proxyApi=aHR0cDovL2Fpa2Fudm9kLm1pZ3V2aWRlby5jb20vdmlkZW8vcC9saXZlLmpzcD91c2VyPWd1ZXN0JmNoYW5uZWw9&id=265218942
游戏风云,http://127.0.0.1:9978/proxy?do=Migu&proxyApi=aHR0cDovL2Fpa2Fudm9kLm1pZ3V2aWRlby5jb20vdmlkZW8vcC9saXZlLmpzcD91c2VyPWd1ZXN0JmNoYW5uZWw9&id=265667664
欢笑剧场,http://127.0.0.1:9978/proxy?do=Migu&proxyApi=aHR0cDovL2Fpa2Fudm9kLm1pZ3V2aWRlby5jb20vdmlkZW8vcC9saXZlLmpzcD91c2VyPWd1ZXN0JmNoYW5uZWw9&id=202812323
之江纪录,http://127.0.0.1:9978/proxy?do=Migu&proxyApi=aHR0cDovL2Fpa2Fudm9kLm1pZ3V2aWRlby5jb20vdmlkZW8vcC9saXZlLmpzcD91c2VyPWd1ZXN0JmNoYW5uZWw9&id=80891335
杭州综合,http://127.0.0.1:9978/proxy?do=Migu&proxyApi=aHR0cDovL2Fpa2Fudm9kLm1pZ3V2aWRlby5jb20vdmlkZW8vcC9saXZlLmpzcD91c2VyPWd1ZXN0JmNoYW5uZWw9&id=76680661
杭州明珠,http://127.0.0.1:9978/proxy?do=Migu&proxyApi=aHR0cDovL2Fpa2Fudm9kLm1pZ3V2aWRlby5jb20vdmlkZW8vcC9saXZlLmpzcD91c2VyPWd1ZXN0JmNoYW5uZWw9&id=76680568
杭州生活,http://127.0.0.1:9978/proxy?do=Migu&proxyApi=aHR0cDovL2Fpa2Fudm9kLm1pZ3V2aWRlby5jb20vdmlkZW8vcC9saXZlLmpzcD91c2VyPWd1ZXN0JmNoYW5uZWw9&id=76680574
杭州影视,http://127.0.0.1:9978/proxy?do=Migu&proxyApi=aHR0cDovL2Fpa2Fudm9kLm1pZ3V2aWRlby5jb20vdmlkZW8vcC9saXZlLmpzcD91c2VyPWd1ZXN0JmNoYW5uZWw9&id=76680745
杭州少儿体育,http://127.0.0.1:9978/proxy?do=Migu&proxyApi=aHR0cDovL2Fpa2Fudm9kLm1pZ3V2aWRlby5jb20vdmlkZW8vcC9saXZlLmpzcD91c2VyPWd1ZXN0JmNoYW5uZWw9&id=76680756
