👉JDiptv👉,#genre#
美亚电影,http://61.163.58.154:1321/ms/IPTV.php?id=203
TVB功夫,http://61.163.58.154:1321/ms/IPTV.php?id=204
TVB功夫,http://61.163.58.154:1321/ms/IPTV.php?id=205
天映经典,http://61.163.58.154:1321/ms/IPTV.php?id=206
天映,http://61.163.58.154:1321/ms/IPTV.php?id=207
天映电影,http://61.163.58.154:1321/ms/IPTV.php?id=208
千禧经典,http://61.163.58.154:1321/ms/IPTV.php?id=209
HUB都会,http://61.163.58.154:1321/ms/IPTV.php?id=210
HUB娱家,http://61.163.58.154:1321/ms/IPTV.php?id=211
ASTRO欢喜,http://61.163.58.154:1321/ms/IPTV.php?id=212
ASTROAOD,http://61.163.58.154:1321/ms/IPTV.php?id=213
ASTRO全佳,http://61.163.58.154:1321/ms/IPTV.php?id=214
AASTROEC,http://61.163.58.154:1321/ms/IPTV.php?id=215
HUB都会,http://61.163.58.154:1321/ms/IPTV.php?id=216
星空卫视,http://61.163.58.154:1321/ms/IPTV.php?id=217
星空卫视,http://61.163.58.154:1321/ms/IPTV.php?id=218
翡翠,http://61.163.58.154:1321/ms/IPTV.php?id=219
翡翠,http://61.163.58.154:1321/ms/IPTV.php?id=220
翡翠,http://61.163.58.154:1321/ms/IPTV.php?id=221
翡翠,http://61.163.58.154:1321/ms/IPTV.php?id=222
TVBPLUS,http://61.163.58.154:1321/ms/IPTV.php?id=223
无线新闻,http://61.163.58.154:1321/ms/IPTV.php?id=224
明珠,http://61.163.58.154:1321/ms/IPTV.php?id=225
TVB生活,http://61.163.58.154:1321/ms/IPTV.php?id=226
TVB星河,http://61.163.58.154:1321/ms/IPTV.php?id=227
TVB星河,http://61.163.58.154:1321/ms/IPTV.php?id=228
TVB星河,http://61.163.58.154:1321/ms/IPTV.php?id=229
TVBJ1,http://61.163.58.154:1321/ms/IPTV.php?id=230
TVB剧集,http://61.163.58.154:1321/ms/IPTV.php?id=231
TVB星河,http://61.163.58.154:1321/ms/IPTV.php?id=232
娱乐新闻,http://61.163.58.154:1321/ms/IPTV.php?id=233
广东体育,http://61.163.58.154:1321/ms/IPTV.php?id=234
广东新闻,http://61.163.58.154:1321/ms/IPTV.php?id=235
RHK31,http://jp1.jdiptv.cc/live/rthk31.m3u8?kdstime=1737027675&kdssign=5873a4573de087125ea66ef0cbca5dd6
RHK32,http://jp1.jdiptv.cc/live/rthk32.m3u8?kdstime=1737027727&kdssign=bb3e9c468e19028f61e4be9f3bf811ac
TVBPLUS,http://co-sg3.jdiptv.cc/live/tvbj2.m3u8?kdstime=1737424642&kdssign=f8ebd3537d6d7d59745bc518519d79f9
TVBPLUS,http://co-sg3.jdiptv.cc/live/tvbj2.m3u8?kdstime=1737454624&kdssign=459ec5c62ca6f96b1aaff4978e5c7490
翡翠,http://co-sg1.jdiptv.cc/live/jade.m3u8?kdstime=1737422816&kdssign=eea2b030dcf6ab6673c56756a195ea51
翡翠,http://co-sg2.jdiptv.cc/live/jade.m3u8?kdstime=1737424202&kdssign=aa99d617144780fd26fef18f22d1877a
翡翠,http://co-sg3.jdiptv.cc/live/jadea2.m3u8?kdstime=1737424210&kdssign=d1727d9fb169d55b37ae4ea1ba05582f
无线新闻,http://co-sg2.jdiptv.cc/live/tvbxw.m3u8?kdstime=1737425194&kdssign=6f693df9396436b3b6bb3b5cb06592df
美亚电影,http://co-sg3.jdiptv.cc/live/xgmydygy.m3u8?kdstime=1737427301&kdssign=914b9e09524a473917ea7746c9b1a6cc
美亚电影,http://co-sg3.jdiptv.cc/live/xgmydygy.m3u8?kdstime=1737454766&kdssign=73b9e9004cea38594c616a2dd5cec4d1
黄金翡翠,http://co-sg2.jdiptv.cc/live/hjfct.m3u8?kdstime=1737026825&kdssign=3777aba4a8f5f16ffd30dce146dbded0
TVB经典,http://co-sg1.jdiptv.cc/live/tvbjd.m3u8?kdstime=1737425033&kdssign=c8c7ca2428a05542153d22ac9b9a9715
TVB星河,http://fr-us3.jdiptv.cc/live/tvbxh.m3u8?kdstime=1737424888&kdssign=defe74e1b0fc78ea3acc15bc547d1bc3
娱乐新闻,http://fr-us3.jdiptv.cc/live/tvbyl.m3u8?kdstime=1737425307&kdssign=b3097de92b6e42452cc3bf552be068ca
娱乐新闻,http://fr-us3.jdiptv.cc/live/tvbyl.m3u8?kdstime=1737454990&kdssign=b8bfcadfcdd8a6d2bcce784a98dd1d65
天映,http://fr-us3.jdiptv.cc/live/typd.m3u8?kdstime=1737425765&kdssign=23a03f6052544c7d5d29cd4b99778c49
HOY78,http://cl-hk1.jdiptv.cc/live/hoy78.m3u8?kdstime=1737442281&kdssign=0d63691ef83c2d5e42386f7eaf49c839
HOY77,http://cl-hk1.jdiptv.cc/live/hoy77.m3u8?kdstime=1737442226&kdssign=d588e7cf6c8e36c0dcc833454bb975a3
NOW星影,http://sg7.jdiptv.cc/live/nowxy.m3u8?kdstime=1737442165&kdssign=89a417d744ba0d95495a198e7d7e6a0d
NOW星影,http://sg7.jdiptv.cc/live/nowxy.m3u8?kdstime=1737453936&kdssign=6d1902526ad0436a30d5e5f2623c57c1
NOW星影,http://sg7.jdiptv.cc/live/nowxy.m3u8?kdstime=1737454219&kdssign=9fc90d1c6e52846a0d6586f265967ba5
NOW爆谷,http://sg7.jdiptv.cc/live/nowbg.m3u8?kdstime=1737442083&kdssign=a89a3833f1942a8edc03db2b26f4601c
NOW爆谷,http://sg7.jdiptv.cc/live/nowbg.m3u8?kdstime=1737454054&kdssign=c5f019359070425894312f04af1e9450
NOW爆谷,http://sg7.jdiptv.cc/live/nowbg.m3u8?kdstime=1737454151&kdssign=53f32468d1c6e33fd1ed5098e4a31053
VIUTV,http://fr-us1.jdiptv.cc/live/viutv.m3u8?kdstime=1737028215&kdssign=e5e41e5ebf9fe10523b75a39ba339024
VIUTV6,http://cc-us3.jdiptv.cc/live/viu6.m3u8?kdstime=1737028264&kdssign=aa64e836c3b1eb56436c2bf7bdc72a6f
THRILL,http://co-sg3.jdiptv.cc/live/thrill.m3u8?kdstime=1737026148&kdssign=74c93cc9788fde5cc64a183856f75088
POPC,http://co-sg1.jdiptv.cc/live/popc.m3u8?kdstime=1737425642&kdssign=3f3e60bfdc73551cd8509d36c0746aef
台湾戏剧,http://cc-us3.jdiptv.cc/live/twxj.m3u8?kdstime=1737437982&kdssign=09f088e9512a3315fa6f4f36fade1d9a
CATCHPLAY,http://kr1.jdiptv.cc/live/cpdy.m3u8?kdstime=1737438058&kdssign=20d236bb7e0d34cf43d58a1cca8af140
CATCHPLAY,http://kr1.jdiptv.cc/live/cpdy.m3u8?kdstime=1737449549&kdssign=e9a770fe231ed30bed527952cad4716f
HITS电影,http://cc-us3.jdiptv.cc/live/hits.m3u8?kdstime=1737438493&kdssign=727a172f52bbfcd4c272b687d16c09d7
HITS电影,http://cc-us3.jdiptv.cc/live/hits.m3u8?kdstime=1737449198&kdssign=2a9c3966f537d656b719f303b735bd4f
好莱坞电影,http://sg3.jdiptv.cc/live/hlwdy.m3u8?kdstime=1737438258&kdssign=7105e45651c5176693d4a06bc7dd139b
好莱坞电影,http://sg3.jdiptv.cc/live/hlwdy.m3u8?kdstime=1737449482&kdssign=0b7c92bcb445b14f41c0c18095046251
东森新闻,http://sg5.jdiptv.cc/live/dsxw.m3u8?kdstime=1737443659&kdssign=07c3325468d1322d49bf1864e1566aea
东森新闻,http://sg5.jdiptv.cc/live/dsxw.m3u8?kdstime=1737449618&kdssign=aef87831044192b8b24334997b231f5d
三立台湾,http://sg4.jdiptv.cc/live/sltw.m3u8?kdstime=1737443738&kdssign=0b22a498801f09bdedfeaa344414be22
三立台湾,http://sg4.jdiptv.cc/live/sltw.m3u8?kdstime=1737449767&kdssign=7175a9197b6adf4a3fa7cb34973624c7
三立国际,http://ar-ca2.jdiptv.cc/live/slgj.m3u8?kdstime=1737435859&kdssign=85c691b2600a6139ab7bc7a4b1628136
三立国际,http://ar-ca2.jdiptv.cc/live/slgj.m3u8?kdstime=1737449807&kdssign=7ee1ebc151efe1ff1fc8eb375dafdd82
三立新闻,http://sg2.jdiptv.cc/live/slxw.m3u8?kdstime=1737435987&kdssign=d8ca30711aace81e63dfcecc9e721c3f
三立新闻,http://sg2.jdiptv.cc/live/slxw.m3u8?kdstime=1737443846&kdssign=b849651b3d4705385ace3b5fcf8b4cf0
三立新闻,http://sg2.jdiptv.cc/live/slxw.m3u8?kdstime=1737449676&kdssign=79569b9e51f7825e67fe44137f04670d
三立戏剧,http://cc-us2.jdiptv.cc/live/slxj.m3u8?kdstime=1737435955&kdssign=c56054b740a1d70528488d981441c195
三立戏剧,http://cc-us2.jdiptv.cc/live/slxj.m3u8?kdstime=1737449877&kdssign=8a7d24a08c5a560658ae78057e698591
三立综合,http://sg6.jdiptv.cc/live/slzh.m3u8?kdstime=1737436047&kdssign=adfa4b19f74a04607b3d7e608e24bc95
三立综合,http://sg6.jdiptv.cc/live/slzh.m3u8?kdstime=1737444472&kdssign=9041771817f592f27b39d026585933cc
中天娱乐,http://sg6.jdiptv.cc/live/ztyl.m3u8?kdstime=1737433302&kdssign=bce1e2dedcfda75c988d989224668dd0
中天娱乐,http://sg6.jdiptv.cc/live/ztyl.m3u8?kdstime=1737448864&kdssign=957a7ba465e13b053d5eaebf7e56d9a5
中天新闻,http://cl-hk1.jdiptv.cc/live/ztxw.m3u8?kdstime=1737444744&kdssign=3d4c909b7b5bfba534b948df6253907d
中天新闻,http://sg6.jdiptv.cc/live/ztxw.m3u8?kdstime=1737433262&kdssign=0da5e756428c3e00484c96d9207a4f42
中天新闻,http://cl-hk1.jdiptv.cc/live/ztxw.m3u8?kdstime=1737448800&kdssign=4f26cd4cebad69aba12c45448f882223
中天综合,http://fr-us4.jdiptv.cc/live/ztzh.m3u8?kdstime=1737433341&kdssign=e836767ada6db599f7f35ea3567579bd
中天综合,http://fr-us4.jdiptv.cc/live/ztzh.m3u8?kdstime=1737444617&kdssign=8bd18293ce82f467d9f32e02938b5a8c
中天综合,http://fr-us4.jdiptv.cc/live/ztzh.m3u8?kdstime=1737448909&kdssign=c3902783fff12cf92a7182033223fd40
八大戏剧,http://fr-us4.jdiptv.cc/live/bdxj.m3u8?kdstime=1737436464&kdssign=dc44e93766c4f4f14cf85d3badc5e6a7
八大戏剧,http://fr-us4.jdiptv.cc/live/bdxj.m3u8?kdstime=1737449047&kdssign=aa8e55280775014c94d577e0f06a3e9c
八大第一,http://fr-us4.jdiptv.cc/live/bddy.m3u8?kdstime=1737436390&kdssign=66c0dd477220058e28b7e24ba0beef3a
八大第一,http://fr-us4.jdiptv.cc/live/bddy.m3u8?kdstime=1737448991&kdssign=251829f3eff2421af20b73f14d39eed7
八大综合,http://fr-us4.jdiptv.cc/live/bdzh.m3u8?kdstime=1737436501&kdssign=d335218b2040d993a263e2271fbfaa2a
八大综合,http://fr-us4.jdiptv.cc/live/bdzh.m3u8?kdstime=1737449115&kdssign=e0b5b608ac4b40e95db28dcc7b0cc0ab
公视,http://sg5.jdiptv.cc/live/gs.m3u8?kdstime=1737433228&kdssign=33379df34c452bdb74874afede17e005
公视,http://sg5.jdiptv.cc/live/gs.m3u8?kdstime=1737445021&kdssign=9f62b0c0664a01b76f2421aff643086a
公视,http://sg5.jdiptv.cc/live/gs.m3u8?kdstime=1737448745&kdssign=049e279ef9d948ac1b5e80a3d900564b
公视台语,http://al-us3.jdiptv.cc/live/gs2.m3u8?kdstime=1737437351&kdssign=ada7085569ee45aa27c0e89582b9d0df
公视台语,http://al-us3.jdiptv.cc/live/gs2.m3u8?kdstime=1737449964&kdssign=d3722fe8d57ebd8f129ae1f949c4510f
公视,http://al-hk1.jdiptv.cc/live/gs3.m3u8?kdstime=1737437454&kdssign=6848ae31dedb97d3c245da8a8e1ee0c3
公视,http://al-hk1.jdiptv.cc/live/gs3.m3u8?kdstime=1737450012&kdssign=f7e8e8c38ddf2adb472ffe6784f897fc
民视,http://sg7.jdiptv.cc/live/ftv.m3u8?kdstime=1737433133&kdssign=e52f886cc5488333257dc0fdbdddb279
民视,http://sg7.jdiptv.cc/live/ftv.m3u8?kdstime=1737445120&kdssign=b649ac17d0c7e1670e530d08297e4b16
民视,http://sg7.jdiptv.cc/live/ftv.m3u8?kdstime=1737448558&kdssign=a5b359b8e43b283187a4e48560dd1171
民视第一,http://fr-us1.jdiptv.cc/live/ftvdy.m3u8?kdstime=1737435428&kdssign=582e15b4c00d9051adcacdfa335938e2
民视第一,http://fr-us1.jdiptv.cc/live/ftvdy.m3u8?kdstime=1737450104&kdssign=76f5e02ab7b24b9be5dfb780175d73f9
民视台湾,http://sg2.jdiptv.cc/live/ftvtw.m3u8?kdstime=1737435480&kdssign=65af0af691e5f29632f6e116f731720b
民视台湾,http://sg2.jdiptv.cc/live/ftvtw.m3u8?kdstime=1737445203&kdssign=dbcd2acf4e9bf159acacf2145b7be142
民视新闻,http://sg5.jdiptv.cc/live/ftvxw.m3u8?kdstime=1737435515&kdssign=de5330fd947c15a215ee3c22b1cdd760
民视新闻,http://sg5.jdiptv.cc/live/ftvxw.m3u8?kdstime=1737445296&kdssign=9b6ca6f9eb77a7a8b553c7254e3a1ae6
民视影剧,http://ar-ca2.jdiptv.cc/live/ftvyj.m3u8?kdstime=1737435546&kdssign=3b5ed6b82a9532d1cd947c484af31d5e
民视影剧,http://ar-ca2.jdiptv.cc/live/ftvyj.m3u8?kdstime=1737450165&kdssign=55a89e0f4354ba4f9fdfb77997f0bc06
台视,http://sg6.jdiptv.cc/live/ttv.m3u8?kdstime=1737433164&kdssign=674118c0333c2adbfe262085ad8376c3
台视,http://sg6.jdiptv.cc/live/ttv.m3u8?kdstime=1737445375&kdssign=34d77e9047774f3d8054452ed13cde5c
台视,http://sg6.jdiptv.cc/live/ttv.m3u8?kdstime=1737448614&kdssign=f84744e4de5bb1baa2d50c8312c9a370
台视新闻台,http://sg4.jdiptv.cc/live/ttvxw.m3u8?kdstime=1737435648&kdssign=e6a0c3ef6b44112f1337b0e2da937e3e
台视新闻台,http://sg4.jdiptv.cc/live/ttvxw.m3u8?kdstime=1737445521&kdssign=ba68a78ca52bb16c735e91c46285359b
台视综合,http://sg5.jdiptv.cc/live/ttvzh.m3u8?kdstime=1737435681&kdssign=05aa9d94b465a950aa3e2b1afd645d47
台视综合,http://sg5.jdiptv.cc/live/ttvzh.m3u8?kdstime=1737445591&kdssign=0b3009606182b10510325fc84396035c
中视,http://sg6.jdiptv.cc/live/ctv.m3u8?kdstime=1737433195&kdssign=6a0ced34bf001001a9d1d80864afb049
中视,http://sg6.jdiptv.cc/live/ctv.m3u8?kdstime=1737445717&kdssign=6be1b01140ffa16d499015da740ff534
中视,http://sg6.jdiptv.cc/live/ctv.m3u8?kdstime=1737448693&kdssign=596da9d20fe7e73f836ad13d76d862e4
华视,http://sg6.jdiptv.cc/live/cts.m3u8?kdstime=1737433013&kdssign=ae27c6cc8db77dede144c596c08c6423
华视,http://sg6.jdiptv.cc/live/cts.m3u8?kdstime=1737445750&kdssign=9b8fe87d39aaf0b3d10fec09e4f28b26
华视,http://sg6.jdiptv.cc/live/cts.m3u8?kdstime=1737448370&kdssign=e164ef597430b76ab93b693b4d96fc43
华视新闻,http://sg6.jdiptv.cc/live/ctsxw.m3u8?kdstime=1737435765&kdssign=d87b212b199c333b5cc0ee17592a0191
华视新闻,http://sg6.jdiptv.cc/live/ctsxw.m3u8?kdstime=1737445828&kdssign=d495a4f860a757fa7f4e078bff094674
寰宇新闻,http://sg2.jdiptv.cc/live/hyxw.m3u8?kdstime=1737436188&kdssign=137fb75cdfa2e263fc6299a8f4945c2d
寰宇新闻,http://sg2.jdiptv.cc/live/hyxw.m3u8?kdstime=1737445962&kdssign=39c4620febf492cdf9830f817e438282
寰宇新闻台湾,http://cc-us2.jdiptv.cc/live/hyxwtw.m3u8?kdstime=1737436331&kdssign=4fea213392532a3ff947a823b2083525
寰宇新闻台湾,http://cc-us2.jdiptv.cc/live/hyxwtw.m3u8?kdstime=1737450266&kdssign=c2a4f98121528ef283300d1304c8b9ed
年代新闻,http://cc-us2.jdiptv.cc/live/ndxw.m3u8?kdstime=1737436605&kdssign=6d0dbe04ae00744dce7d84b07f6a57f3
年代新闻,http://cc-us2.jdiptv.cc/live/ndxw.m3u8?kdstime=1737450325&kdssign=7135dd6ae6501bdee732f59acfc9a9a1
年代MUCH,http://co-sg2.jdiptv.cc/live/ndmuch.m3u8?kdstime=1737436680&kdssign=14ecbe6eaf2d584972d55d5ae8ab9d9d
年代MUCH,http://co-sg2.jdiptv.cc/live/ndmuch.m3u8?kdstime=1737450373&kdssign=aec1fab77656ab0e2d3d99d0491c8151
ELTA影剧,http://ar-ca1.jdiptv.cc/live/eltayj.m3u8?kdstime=1737437301&kdssign=86db1665258e60f856fd98b152b28e48
ELTA影剧,http://ar-ca1.jdiptv.cc/live/eltayj.m3u8?kdstime=1737450447&kdssign=54f2e85a6c9aaee749b9533d574b2884
ELTA综合,http://fr-us2.jdiptv.cc/live/eltazh.m3u8?kdstime=1737437196&kdssign=f4cdb388114b9889aa36ce7464593966
ELTA综合,http://fr-us2.jdiptv.cc/live/eltazh.m3u8?kdstime=1737450520&kdssign=9e89785304008e22c6b315886b139070
东森戏剧,http://fr-us3.jdiptv.cc/live/dsxj.m3u8?kdstime=1737433477&kdssign=ea8de49756c27442ab419fa65042576a
东森戏剧,http://fr-us3.jdiptv.cc/live/dsxj.m3u8?kdstime=1737433477&kdssign=ea8de49756c27442ab419fa65042576a
东森洋片,http://fr-us3.jdiptv.cc/live/dsyp.m3u8?kdstime=1737433549&kdssign=c35e87dabf6b3dc85f2e7075d50743af
东森洋片,http://fr-us3.jdiptv.cc/live/dsyp.m3u8?kdstime=1737450591&kdssign=8acb9ce5578a14aa858c4f595a3fdc01
东森综合,http://fr-us2.jdiptv.cc/live/dszh.m3u8?kdstime=1737433589&kdssign=50d644e980236aa6a096bef38715485f
东森综合,http://fr-us2.jdiptv.cc/live/dszh.m3u8?kdstime=1737450639&kdssign=5f52d8d15e58143b4541b11640d849fa
东森亚洲新闻,http://fr-us1.jdiptv.cc/live/dsyzxw.m3u8?kdstime=1737446207&kdssign=908d56f765afd29b7ad865b4cbf20339
东森亚洲新闻,http://fr-us1.jdiptv.cc/live/dsyzxw.m3u8?kdstime=1737433623&kdssign=a8655d28a0194f5fb950d899bf16aafe
东森电影,http://fr-us3.jdiptv.cc/live/dsdy.m3u8?kdstime=1737433427&kdssign=416985ca059a814ad31f35a12b0217cc
东森电影,http://fr-us3.jdiptv.cc/live/dsdy.m3u8?kdstime=1737450697&kdssign=d8fe96622d0887ad8766910568845af3
纬来戏剧,http://jp1.jdiptv.cc/live/wlxj.m3u8?kdstime=1737436865&kdssign=18b6513b4f444e8aee58d454db62f510
纬来戏剧,http://jp1.jdiptv.cc/live/wlxj.m3u8?kdstime=1737450807&kdssign=822dd7aabbb4e8aecd2cc1c42810a57a
纬来电影,http://sg7.jdiptv.cc/live/wldy.m3u8?kdstime=1737446337&kdssign=0be14dfc7253396e2d7f115b53472de1
纬来电影,http://sg7.jdiptv.cc/live/wldy.m3u8?kdstime=1737450870&kdssign=c6cfe2c29b1506d37c276f59ed564384
纬来综合,http://jp1.jdiptv.cc/live/wlzh.m3u8?kdstime=1737436908&kdssign=811741a96b5b65ceaae201f2a4f69c02
纬来综合,http://jp1.jdiptv.cc/live/wlzh.m3u8?kdstime=1737450922&kdssign=a76a647d60dda88d7a2486479a955fb5
非凡新闻,http://fr-us4.jdiptv.cc/live/ffxw.m3u8?kdstime=1737433680&kdssign=916861d6844d49d9893d2f5a1a2fcaf1
非凡新闻,http://fr-us4.jdiptv.cc/live/ffxw.m3u8?kdstime=1737451033&kdssign=ace6ecbd266473242a51a7e8c32fb4a3
龙祥时代,http://sg7.jdiptv.cc/live/lxsd.m3u8?kdstime=1737446435&kdssign=3ef287e11e4534a46027d054813f2917
龙祥时代,http://sg7.jdiptv.cc/live/lxsd.m3u8?kdstime=1737451122&kdssign=613d99d5fd4ccd23388aac989d1b7b85
龙华偶像,http://fr-us1.jdiptv.cc/live/lhox.m3u8?kdstime=1737437084&kdssign=5038c63b8a2c2886302b1ba74bea7766
龙华偶像,http://fr-us1.jdiptv.cc/live/lhox.m3u8?kdstime=1737451197&kdssign=bb6729071bce68768638902d7598c622
龙华戏剧,http://sg2.jdiptv.cc/live/lhxj.m3u8?kdstime=1737437115&kdssign=6ee085c3197cef8d2761b1e2f856cad2
龙华戏剧,http://sg2.jdiptv.cc/live/lhxj.m3u8?kdstime=1737446603&kdssign=ee32b7cb5134ea696b5d28b004cbd4fb
龙华洋片,http://sg6.jdiptv.cc/live/lhyp.m3u8?kdstime=1737437146&kdssign=33520ceb9e899d9d6b7abf9c5f161838
龙华洋片,http://sg6.jdiptv.cc/live/lhyp.m3u8?kdstime=1737446644&kdssign=2664fd6e59f5b0b9937a5b624b658f3e
龙华电影,http://fr-us2.jdiptv.cc/live/lxsdgj.m3u8?kdstime=1737437873&kdssign=ac6ecdbfbdf23f09f91457ed539a69c3
龙华电影,http://sg2.jdiptv.cc/live/lhdy.m3u8?kdstime=1737451265&kdssign=86eabdd717e2e2daa4e4fe0c1f822e06
AMC,http://fr-us4.jdiptv.cc/live/amcdy.m3u8?kdstime=1737438189&kdssign=ba106d5713450bcde1def7ac0daf66f4
AMC,http://fr-us4.jdiptv.cc/live/amcdy.m3u8?kdstime=1737449420&kdssign=31a9c6a861a9a6f9337278fe81269c9b
AXN,http://al-hk1.jdiptv.cc/live/axn.m3u8?kdstime=1737438301&kdssign=a4da22b7352b348691e3dadb0744e440
AXN,http://al-hk1.jdiptv.cc/live/axn.m3u8?kdstime=1737449335&kdssign=7f8a849db9f43e5fefa7af1af431549e
霹雳,http://fr-us3.jdiptv.cc/live/pili.m3u8?kdstime=1737437510&kdssign=92e3f477cf61baae9faab10f25a0a8f8
霹雳,http://fr-us3.jdiptv.cc/live/pili.m3u8?kdstime=1737437510&kdssign=92e3f477cf61baae9faab10f25a0a8f8
TVBS,http://sg5.jdiptv.cc/live/tvbs.m3u8?kdstime=1737433714&kdssign=021edcc79edc85f4d187f26f5bf154be
TVBS,http://sg5.jdiptv.cc/live/tvbs.m3u8?kdstime=1737446724&kdssign=1696a38735b115ddf4f66bb29dacf789
TVBS新闻,http://sg5.jdiptv.cc/live/tvbsxw.m3u8?kdstime=1737433775&kdssign=f5d4324047830ac29d09399860af177c
TVBS新闻,http://sg5.jdiptv.cc/live/tvbsxw.m3u8?kdstime=1737446834&kdssign=e170332314dd2a4f79c02bf31fdefd9f
TVBS剧,http://cc-us3.jdiptv.cc/live/tvbstj.m3u8?kdstime=1737433802&kdssign=ae052a78d7843fff79f0b060e8def45e
TVBS剧,http://cc-us3.jdiptv.cc/live/tvbstj.m3u8?kdstime=1737451599&kdssign=cd57300b395b2a2540391b8fe21238c8
TVBS亚洲,http://al-us3.jdiptv.cc/live/tvbsyz.m3u8?kdstime=1737433860&kdssign=5296fd9bfefcfa44bf13f477f80bfe92
TVBS亚洲,http://al-us3.jdiptv.cc/live/tvbsyz.m3u8?kdstime=1737451648&kdssign=b486cdd371a70b689ef7d1c67df172b4
TVBS亚洲,http://al-us3.jdiptv.cc/live/tvbsyz.m3u8?kdstime=1737030712&kdssign=081aaee108c1103adb025326342d5388
TVBS综艺,http://cc-us3.jdiptv.cc/live/tvbszy.m3u8?kdstime=1737433918&kdssign=d1865a1d7633a9c95a535cecad7acc3a
TVBS综艺,http://cc-us3.jdiptv.cc/live/tvbszy.m3u8?kdstime=1737030784&kdssign=d9e69b09eabfab19a4e715bae03c0678
中视新闻,http://sg6.jdiptv.cc/live/ctvxw.m3u8?kdstime=1737447023&kdssign=902a5dfe2692ad71f617128d6477fbb6
中视新闻,http://sg6.jdiptv.cc/live/ctvxw.m3u8?kdstime=1737436160&kdssign=f4fa6599788d5a23786b4b970b035ddc
中视经典,http://kr1.jdiptv.cc/live/ctvjd.m3u8?kdstime=1737447097&kdssign=4fb3d10efa4672387f9cb3426c5167f6
中视经典,http://kr1.jdiptv.cc/live/ctvjd.m3u8?kdstime=1737436131&kdssign=e705509a517abefa6104e93443c4c9c9
中视精彩,http://kr1.jdiptv.cc/live/ctvjc.m3u8?kdstime=1737447184&kdssign=0388d8a07bd0c2df6e32696073090151
中视精彩,http://kr1.jdiptv.cc/live/ctvjc.m3u8?kdstime=1737436082&kdssign=4441bddea1fd4d64ddb5af008e89d402
